2021-09-08 12:15:27.672 INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-09-08 12:15:27.672 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1947 ms
2021-09-08 12:15:29.550 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-09-08 12:15:29.679 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2021-09-08 12:15:29.824 INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7bbd24ab, org.springframework.security.web.context.SecurityContextPersistenceFilter@399e84ed, org.springframework.security.web.header.HeaderWriterFilter@5227533, org.springframework.web.filter.CorsFilter@22cf89ee, org.springframework.security.web.authentication.logout.LogoutFilter@51291fab, com.xtw.bridge.filter.JwtAuthenticationTokenFilter@486ca6c6, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@57387317, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@21f0bf71, org.springframework.security.web.authentication.rememberme.RememberMeAuthenticationFilter@4d25242f, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@75c04128, org.springframework.security.web.session.SessionManagementFilter@298718be, org.springframework.security.web.access.ExceptionTranslationFilter@6473c347, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@285889cd]
2021-09-08 12:15:29.862 INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2021-09-08 12:15:29.882 INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2021-09-08 12:15:29.898 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2021-09-08 12:15:29.910 INFO  com.xtw.bridge.BridgeonzhoudaiApplication - Started BridgeonzhoudaiApplication in 4.818 seconds (JVM running for 5.652)
2021-09-08 12:16:13.648 INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-09-08 12:16:13.649 INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-09-08 12:16:13.652 INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2021-09-08 12:18:38.754 INFO  com.xtw.bridge.BridgeonzhoudaiApplication - Starting BridgeonzhoudaiApplication using Java 1.8.0_261 on DESKTOP-CJ6RO9E with PID 972 (D:\software\IDEAAllProj\Spring\bridge_zhoudai\target\classes started by admin in D:\software\IDEAAllProj\collect_zhoudai)
2021-09-08 12:18:38.749 INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.2.4.Final
2021-09-08 12:18:38.755 INFO  com.xtw.bridge.BridgeonzhoudaiApplication - The following profiles are active: dev
2021-09-08 12:18:38.817 INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2021-09-08 12:18:38.818 INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2021-09-08 12:18:40.966 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2021-09-08 12:18:40.982 INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2021-09-08 12:18:40.984 INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-09-08 12:18:40.984 INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.46]
2021-09-08 12:18:41.206 INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-09-08 12:18:41.206 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2387 ms
2021-09-08 12:18:44.201 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-09-08 12:18:44.407 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2021-09-08 12:18:44.652 INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6f70a105, org.springframework.security.web.context.SecurityContextPersistenceFilter@1265d666, org.springframework.security.web.header.HeaderWriterFilter@46dbb10f, org.springframework.web.filter.CorsFilter@2386fc56, org.springframework.security.web.authentication.logout.LogoutFilter@4939549b, com.xtw.bridge.filter.JwtAuthenticationTokenFilter@504f643a, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@585e28cc, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@44c9b312, org.springframework.security.web.authentication.rememberme.RememberMeAuthenticationFilter@7615beb0, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@cc09cfe, org.springframework.security.web.session.SessionManagementFilter@6f5982bf, org.springframework.security.web.access.ExceptionTranslationFilter@7460868b, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@5f98867c]
2021-09-08 12:18:44.744 INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2021-09-08 12:18:44.787 INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2021-09-08 12:18:44.822 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2021-09-08 12:18:44.845 INFO  com.xtw.bridge.BridgeonzhoudaiApplication - Started BridgeonzhoudaiApplication in 6.802 seconds (JVM running for 7.633)
2021-09-08 12:18:47.608 INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-09-08 12:18:47.609 INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-09-08 12:18:47.612 INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 3 ms
2021-09-08 12:19:57.738 INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.2.4.Final
2021-09-08 12:19:57.744 INFO  com.xtw.bridge.BridgeonzhoudaiApplication - Starting BridgeonzhoudaiApplication using Java 1.8.0_261 on DESKTOP-CJ6RO9E with PID 8024 (D:\software\IDEAAllProj\Spring\bridge_zhoudai\target\classes started by admin in D:\software\IDEAAllProj\collect_zhoudai)
2021-09-08 12:19:57.745 INFO  com.xtw.bridge.BridgeonzhoudaiApplication - The following profiles are active: dev
2021-09-08 12:19:57.787 INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2021-09-08 12:19:57.787 INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2021-09-08 12:19:59.064 INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2021-09-08 12:19:59.071 INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2021-09-08 12:19:59.072 INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-09-08 12:19:59.073 INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.46]
2021-09-08 12:19:59.202 INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-09-08 12:19:59.202 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1414 ms
2021-09-08 12:20:00.883 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2021-09-08 12:20:01.003 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
